2025-12-07 14:26:56,395 INFO    MainThread:45470 [wandb_setup.py:_flush():81] Current SDK version is 0.22.3
2025-12-07 14:26:56,396 INFO    MainThread:45470 [wandb_setup.py:_flush():81] Configure stats pid to 45470
2025-12-07 14:26:56,396 INFO    MainThread:45470 [wandb_setup.py:_flush():81] Loading settings from /Users/aaronalexander/.config/wandb/settings
2025-12-07 14:26:56,396 INFO    MainThread:45470 [wandb_setup.py:_flush():81] Loading settings from /Users/aaronalexander/DoDodo/wandb/settings
2025-12-07 14:26:56,396 INFO    MainThread:45470 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-12-07 14:26:56,396 INFO    MainThread:45470 [wandb_init.py:setup_run_log_directory():706] Logging user logs to /Users/aaronalexander/DoDodo/wandb/run-20251207_142656-dyaqon5z/logs/debug.log
2025-12-07 14:26:56,396 INFO    MainThread:45470 [wandb_init.py:setup_run_log_directory():707] Logging internal logs to /Users/aaronalexander/DoDodo/wandb/run-20251207_142656-dyaqon5z/logs/debug-internal.log
2025-12-07 14:26:56,396 INFO    MainThread:45470 [wandb_init.py:init():833] calling init triggers
2025-12-07 14:26:56,396 INFO    MainThread:45470 [wandb_init.py:init():838] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-12-07 14:26:56,396 INFO    MainThread:45470 [wandb_init.py:init():881] starting backend
2025-12-07 14:26:56,631 INFO    MainThread:45470 [wandb_init.py:init():884] sending inform_init request
2025-12-07 14:26:56,659 INFO    MainThread:45470 [wandb_init.py:init():892] backend started and connected
2025-12-07 14:26:56,663 INFO    MainThread:45470 [wandb_init.py:init():962] updated telemetry
2025-12-07 14:26:56,690 INFO    MainThread:45470 [wandb_init.py:init():986] communicating run to backend with 90.0 second timeout
2025-12-07 14:26:57,292 INFO    MainThread:45470 [wandb_init.py:init():1033] starting run threads in backend
2025-12-07 14:26:57,393 INFO    MainThread:45470 [wandb_run.py:_console_start():2506] atexit reg
2025-12-07 14:26:57,393 INFO    MainThread:45470 [wandb_run.py:_redirect():2354] redirect: wrap_raw
2025-12-07 14:26:57,393 INFO    MainThread:45470 [wandb_run.py:_redirect():2423] Wrapping output streams.
2025-12-07 14:26:57,393 INFO    MainThread:45470 [wandb_run.py:_redirect():2446] Redirects installed.
2025-12-07 14:26:57,395 INFO    MainThread:45470 [wandb_init.py:init():1073] run started, returning control to user process
2025-12-07 14:26:57,527 INFO    MainThread:45470 [wandb_run.py:_config_callback():1390] config_cb None None {'num_envs': 4096, 'max_iterations': 1500, 'env_cfg': {'num_actions': 8, 'default_joint_angles': {'left_joint_1': 0.0, 'right_joint_1': 0.0, 'left_joint_2': 0.4, 'right_joint_2': 0.4, 'left_joint_3': -0.7, 'right_joint_3': -0.7, 'left_joint_4': 0.3, 'right_joint_4': 0.3}, 'joint_names': ['left_joint_1', 'right_joint_1', 'left_joint_2', 'right_joint_2', 'left_joint_3', 'right_joint_3', 'left_joint_4', 'right_joint_4'], 'kp': 40.0, 'kd': 12.649110640673518, 'termination_if_roll_greater_than': 30, 'termination_if_pitch_greater_than': 30, 'base_init_pos': [0.0, 0.0, 0.55], 'base_init_quat': [1.0, 0.0, 0.0, 0.0], 'episode_length_s': 10.0, 'resampling_time_s': 2.0, 'action_scale': 0.5, 'simulate_action_latency': False, 'clip_actions': 1.0, 'robot_mjcf': '/Users/aaronalexander/DoDodo/dodobot_v3/urdf/dodobot_v3_simple.urdf', 'foot_link_names': ['left_link_4', 'right_link_4']}, 'reward_scales': {'tracking_lin_vel': 2.0, 'tracking_ang_vel': 0.5, 'base_height': 1.0, 'fall_penalty': 10.0, 'action_rate': -0.01}, 'obs_cfg': {'num_obs': 36, 'obs_scales': {'lin_vel': 2.0, 'ang_vel': 0.25, 'dof_pos': 1.0, 'dof_vel': 0.05}}, 'command_cfg': {'num_commands': 3, 'resampling_time_s': 2.0, 'command_ranges': {'lin_vel_x': [0.1, 0.3], 'lin_vel_y': [-0.1, 0.1], 'ang_vel_yaw': [-0.3, 0.3]}}, 'train_cfg': {'algorithm': {'class_name': 'PPO', 'clip_param': 0.2, 'desired_kl': 0.01, 'entropy_coef': 0.02, 'gamma': 0.98, 'lam': 0.95, 'learning_rate': 0.0002, 'max_grad_norm': 1.0, 'num_learning_epochs': 8, 'num_mini_batches': 4, 'schedule': 'adaptive', 'use_clipped_value_loss': True, 'value_loss_coef': 1.0}, 'init_member_classes': {}, 'policy': {'activation': 'elu', 'actor_hidden_dims': [512, 256, 128], 'critic_hidden_dims': [512, 256, 128], 'init_noise_std': 1.0, 'class_name': 'ActorCritic'}, 'runner': {'checkpoint': -1, 'experiment_name': 'dodo-walking-new', 'load_run': -1, 'log_interval': 1, 'max_iterations': 1500, 'record_interval': -1, 'resume': False, 'resume_path': None, 'run_name': ''}, 'runner_class_name': 'OnPolicyRunner', 'num_steps_per_env': 24, 'save_interval': 50, 'empirical_normalization': None, 'seed': 1, 'logger': 'wandb', 'tensorboard_subdir': 'tb'}}
